source,area,topology,primary,secondary,inaccuracy,misdirection
nyt,96,0.8962264150943396,0.6698113207547169,0.22641509433962265,0.11724137931034483,0.05263157894736842
npr,96,0.8301886792452831,0.5849056603773585,0.24528301886792453,0.17123287671232876,0.11363636363636363
guardian,104,0.8490566037735849,0.6415094339622641,0.20754716981132076,0.14084507042253522,0.12222222222222222
wp,96,0.8584905660377359,0.6132075471698113,0.24528301886792453,0.1527777777777778,0.0989010989010989
fivethirtyeight,88,0.8557692307692307,0.6153846153846154,0.2403846153846154,0.1510791366906475,0.10112359550561797
bloomberg,96,0.8461538461538461,0.5961538461538461,0.25,0.17482517482517482,0.10227272727272728
