,AK,,,,,,,,,,,ME
,,,,,,,,,,,VT,NH
,,,,ND,MN,,,,NY,NJ,MA,RI
,WA,ID,MT,SD,IA,WI,MI,,PA,DE,CT,
,OR,NV,WY,NE,MO,IL,IN,OH,VA,DC,MD,
,CA,UT,CO,KS,AR,TN,KY,WV,NC,,,
,,AZ,NM,OK,LA,MS,AL,GA,SC,,,
HI,,,,TX,,,,FL,,,,
