AK,,,,,,,,,,,ME
,,,,,,,,,VT,NH,MA
,WA,MT,ND,SD,MN,WI,MI,,NY,CT,RI
,OR,ID,WY,NE,IA,IL,IN,OH,PA,NJ,
CA,NV,UT,CO,KS,MO,KY,WV,DC,MD,DE,
,,AZ,NM,OK,AR,TN,VA,NC,,,
,,,TX,LA,MS,AL,GA,SC,,,
HI,,,,,,,FL,,,,
